src,satb,articulation,instrument,duration_s,dest
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.F3-PB.wav,B,pizzicato,Basses,2.49,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.F3-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.G2-PB.wav,B,pizzicato,Basses,2.27,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.G2-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.Gb2-PB.wav,B,pizzicato,Basses,2.86,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.Gb2-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bass-solo/Bass.pizz.Gb3-PB.wav,B,pizzicato,Basses,2.39,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/B/pizzicato/Basses/Bass.pizz.Gb3-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.A#1-PB.wav,T,sustain,Bassoon,2.31,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.A#1-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.A#2-PB.wav,T,sustain,Bassoon,2.21,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.A#2-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.A#3-PB.wav,T,sustain,Bassoon,2.01,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.A#3-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.A#4-PB.wav,T,sustain,Bassoon,2.24,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.A#4-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.A2-PB.wav,T,sustain,Bassoon,2.24,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.A2-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.A3-PB.wav,T,sustain,Bassoon,2.02,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.A3-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.A4-PB.wav,T,sustain,Bassoon,2.08,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.A4-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.B1-PB.wav,T,sustain,Bassoon,2.15,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.B1-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.B2-PB.wav,T,sustain,Bassoon,2.06,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.B2-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.B4-PB.wav,T,sustain,Bassoon,2.03,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.B4-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.C#2-PB.wav,T,sustain,Bassoon,2.45,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.C#2-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.C#3-PB.wav,T,sustain,Bassoon,2.14,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.C#3-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.C#4-PB.wav,T,sustain,Bassoon,1.91,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.C#4-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.C#5-PB.wav,T,sustain,Bassoon,2.27,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.C#5-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.C2-PB.wav,T,sustain,Bassoon,2.4,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.C2-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.C3-PB.wav,T,sustain,Bassoon,2.09,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.C3-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.C4-PB.wav,T,sustain,Bassoon,1.82,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.C4-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.C5-PB.wav,T,sustain,Bassoon,2.14,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.C5-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.D#2-PB.wav,T,sustain,Bassoon,2.3,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.D#2-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.D#3-PB.wav,T,sustain,Bassoon,2.02,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.D#3-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.D#4-PB.wav,T,sustain,Bassoon,2.07,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.D#4-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.D3-PB.wav,T,sustain,Bassoon,2.08,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.D3-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.D4-PB.wav,T,sustain,Bassoon,1.85,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.D4-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.D5-PB.wav,T,sustain,Bassoon,2.2,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.D5-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.E2-PB.wav,T,sustain,Bassoon,2.29,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.E2-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.E4-PB.wav,T,sustain,Bassoon,2.08,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.E4-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.F#2-PB.wav,T,sustain,Bassoon,2.3,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.F#2-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.F#3-PB.wav,T,sustain,Bassoon,1.94,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.F#3-PB.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Bassoon-solo/Bassoon.ff.F#4-PB.wav,T,sustain,Bassoon,1.99,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/T/sustain/Bassoon/Bassoon.ff.F#4-PB.wav
