variant_id,path,segment_id,entry_anchor_ms,mid_anchor_ms,exit_anchor_ms,tempo_factor,pitch_semitones,state_suggestion,phase_affinity,calm_final,centroid,rms
seg_0012__tm08__p-1,seg_0012__tm08__p-1.wav,seg_0012,292,510,4764,-0.08,-1,S3,either,0.71946062491635,1613.224931604432,0.0005134397652
seg_0012__t00__p0,seg_0012__t00__p0.wav,seg_0012,269,469,4383,0.0,0,S3,either,0.705931175724985,1560.3307941988517,0.0008520364644937
seg_0020__tm08__p-1,seg_0020__tm08__p-1.wav,seg_0020,327,6308,10203,-0.08,-1,S3,exhale,0.9644193096652026,677.4049715672576,0.0040185377001762
seg_0020__t00__p0,seg_0020__t00__p0.wav,seg_0020,301,5803,9387,0.0,0,S3,exhale,0.9549836506884152,705.0024150905936,0.0064111864194273
seg_0020__tm04__p0,seg_0020__tm04__p0.wav,seg_0020,314,6045,9778,-0.04,0,S3,exhale,0.9521508718921892,713.2525324971298,0.0038179929833859
seg_0020__tm04__p-1,seg_0020__tm04__p-1.wav,seg_0020,314,6045,9778,-0.04,-1,S3,exhale,0.944614986022003,644.7696305734373,0.0047526992857456
seg_0006__t00__p-1,seg_0006__t00__p-1.wav,seg_0006,715,11755,30272,0.0,-1,S3,exhale,0.9158704082460468,1678.1889929567042,0.0225150920450687
seg_0006__tm08__p-1,seg_0006__tm08__p-1.wav,seg_0006,777,12777,32904,-0.08,-1,S3,exhale,0.9137485146001166,1719.917183775921,0.0225225239992141
seg_0006__tm04__p-1,seg_0006__tm04__p-1.wav,seg_0006,745,12245,31533,-0.04,-1,S3,exhale,0.911408131441298,1744.9322537862754,0.0212993659079074
seg_0006__tm08__p0,seg_0006__tm08__p0.wav,seg_0006,777,12777,32904,-0.08,0,S3,exhale,0.9022103261776664,1855.4028490999035,0.0215685181319713
seg_0020__tm08__p0,seg_0020__tm08__p0.wav,seg_0020,327,6308,10203,-0.08,0,S3,exhale,0.9005749181358114,685.6915474066626,0.0052210357971489
seg_0014__tm04__p-1,seg_0014__tm04__p-1.wav,seg_0014,750,7675,11144,-0.04,-1,S3,exhale,0.9005063388567209,931.123632168694,0.0061273542232811
